identity,created_at,content_auth,reposts_count,attitudes_count,comments_count,text
4298328990610319,10-23,0,172,2132,432,我参与了@第24届华鼎奖 发起的投票 【第24届华鼎奖中国古装题材电视剧最佳男演员】，我投给了“《香蜜沉沉烬如霜》邓伦”这个选项。你也快来表态吧~
4298328323359289,10-23,0,156,1927,414,我参与了@第24届华鼎奖 发起的投票 【第24届华鼎奖中国古装题材电视剧最佳女演员】，我投给了“《香蜜沉沉烬如霜》杨紫”这个选项。你也快来表态吧~
4298323952827414,10-23,0,383,7902,1155,#电视剧香蜜沉沉烬如霜# 二十万八千六百一十二年霜降，花神梓芬和水神洛霖之女锦觅仙子出生，其真身为一朵六瓣霜花。锦觅仙子生日快乐🎂❄️ 
4297504852064181,10-21,0,591,10923,1284,#电视剧香蜜沉沉烬如霜# 翼其承旭系，凤以垂鸿猷。 
4297348563112160,10-21,0,44389,22923,4160,#电视剧香蜜沉沉烬如霜# 凤凰非梧桐不栖，非竹实不食，非醴泉不饮。香香祝凤娃、鸦鸦、魔尊、貂哥………最最最重要的是带领这四位出道的@邓伦 先生生辰快乐，如日之升！🌞🎂🎁🐦🌲🍯 
4296417973191836,10-18,0,219,12154,1348,#电视剧香蜜沉沉烬如霜# 山远天高烟水寒，相思枫叶丹。 
4294698082730086,10-13,0,1119,11751,2466,#电视剧香蜜沉沉烬如霜# 时间过得张牙舞爪，光阴逃得死去活来。 
4292790538438398,10-08,0,80,7000,808,#电视剧香蜜沉沉烬如霜# 祝月下仙人@夏志远远 生日快乐🎂[给你小心心]青春常驻话说，你的话本库存还够吗 
4292440665773211,10-07,0,38,3816,359,#电视剧香蜜沉沉烬如霜# 今晚恭迎天后娘娘🙇炒鸡期待 查看图片
4290977344259075,10-03,0,109,9680,1233,#电视剧香蜜沉沉烬如霜# 祝最可爱的@朱銳斌 导演生日快乐🎂🎁🎊🎈谢谢您为大家带来香蜜香香给您笔芯❤️啦 
4290410198691366,10-01,0,48,9574,596,#电视剧香蜜沉沉烬如霜# 祝我们的燎原君@张钧然先生 生日快乐❤️平安顺遂❤️ 
4290252086219683,10-01,0,124,8009,1041,#电视剧香蜜沉沉烬如霜##1001毛不易生日快乐#香蜜收官的日子里，香香一直反复循环#毛不易不染# 呢[给你小心心]一念来回度余生无悔 @毛不易 生日快乐！一直支持你❤️ 
4287682752075439,09-24,0,503,15412,2748,#电视剧香蜜沉沉烬如霜# 但愿人长久，千里共婵娟。香香祝道友们中秋节快乐，阖家团圆❤️ 
4287378673464618,09-23,0,317,11193,1756,#电视剧香蜜沉沉烬如霜# 锦觅，原花界果子精“葡萄精灵”，头戴“锁灵簪”封住外貌，实则是先花神梓芬和水神洛霖之女。#锦觅天团# 
4287355983230883,09-23,0,816,15164,3357,#电视剧香蜜沉沉烬如霜# 旭凤，真身火凤凰。天界二殿下，天帝天后之嫡子，“战神”火神。#旭凤天团# 
4286944278130243,09-22,0,152,8054,947,#电视剧香蜜沉沉烬如霜# 天之道，损有余而补不足，高者抑之，下者举之。 
4286829588750687,09-21,0,101,2769,410,我参与了@微博电视剧 发起的投票 【你最喜爱的热播剧】，我投给了“《香蜜沉沉烬如霜》”这个选项。你也快来表态吧~
4286721904303272,09-21,0,123,3271,223,#电视剧香蜜沉沉烬如霜# 哇！香香要参加🙋🙋🙋
4286600030245656,09-21,0,586,15283,1482,#电视剧香蜜沉沉烬如霜# “有时候眼前人，未必是心上人，直到他死了以后我才知道，原来我心里一直爱的，只有他。” 
4286277614789203,09-20,0,79,7536,938,#电视剧香蜜沉沉烬如霜# 牡丹花下死，做鬼也风流。@彭杨 @宁文彤 
4286248169952073,09-20,0,316,5604,983,#电视剧香蜜沉沉烬如霜# 不忘初心，天道酬勤！我们会继续努力💪谢谢大家对香蜜的支持和肯定🙇
4285979621233616,09-19,0,320,13140,1280,#电视剧香蜜沉沉烬如霜# “谁人还没有一些年少无知的糊涂往事啊，总是要过尽千帆之后，才能笑看风云嘛。”@廖劲锋Daniel 
4285591334493242,09-18,0,107,4554,245,吾辈当自强[加油]
4285213439601289,09-17,0,90,7330,717,#电视剧香蜜沉沉烬如霜# “无论你有什么变化，我们都一起面对。”@陈钰琪Yukee 
4284778612545416,09-16,0,172,14056,1442,#电视剧香蜜沉沉烬如霜# “天帝，才是这天地间最大的囚徒。”@何中华 
4284441805085836,09-15,0,231,13350,1857,#电视剧香蜜沉沉烬如霜# 陌上花开，可缓缓归矣。周末愉快 
4284242064099324,09-14,0,437,4740,501,#电视剧香蜜沉沉烬如霜# 哇！迫不及待想玩啦
4284161017329877,09-14,0,1084,14963,2469,#电视剧香蜜沉沉烬如霜# 有了想守护的人，一切都会变得强大。加油！ 
4283931136445198,09-13,0,1233,25369,2718,#电视剧香蜜沉沉烬如霜# 灵力越高，能力越强，背负的责任和使命也就越大，需要守护的东西，也就越多。 
4283388615256580,09-12,0,1189,25062,3380,#电视剧香蜜沉沉烬如霜# “所有的处心积虑和机心权变，都抵不过那一颗赤子之心哪。”@夏志远远 
4283152077264569,09-11,0,736,6056,938,#电视剧香蜜沉沉烬如霜# 调皮 查看图片 //@中央气象台:山竹：我们做果子精的，自然不能和一只鸟一般见识
4282979675027837,09-11,0,427,13037,1485,#电视剧香蜜沉沉烬如霜# “六界之中凡人最苦，所谓人，生来就是吃苦的。”@萨顶顶 
4282641660809581,09-10,0,43,7837,893,#电视剧香蜜沉沉烬如霜# 祝刘宁总@Andy-LiuNing 生日快乐！🎂感谢您为香蜜的付出祝您事事如意 
4282464081446348,09-09,0,488,16183,3268,#电视剧香蜜沉沉烬如霜# 晚安 
4282019271975999,09-08,0,4192,26463,4565,#电视剧香蜜沉沉烬如霜# “我痛恨我自己，为了你心软到连性命、尊严都可以舍弃！”@邓伦 
4281671178677293,09-07,0,432,19079,3256,#电视剧香蜜沉沉烬如霜# “医者面前有救无类，只要你肯虔心向善，我定会助你早日康复。”@杨紫 
4281328058935975,09-06,0,1697,16664,4540,#电视剧香蜜沉沉烬如霜# 圆满收官，感恩陪伴！香蜜效应，全民热爆！久违上星古装剧点燃热议！这个夏天，你看香蜜了吗？[给你小心心][给你小心心][给你小心心] 
4281264707897678,09-06,0,346,9456,1732,#电视剧香蜜沉沉烬如霜# 热度不减，好歌持续霸榜！ 突破282万首总销量后原声专辑昨日0点正式转免费，剧中好歌全部二度爆发。 今日@网易云音乐 双榜冠军（@萨顶顶 #萨顶顶左手指月# 飙升榜冠军、@毛不易 #毛不易不染# 新歌榜连续6天夺冠），@杨紫 @邓伦 演唱的其他歌曲也全部上榜，歌曲评论 ...全文
4281235116815866,09-06,0,291,8971,1458,#电视剧香蜜沉沉烬如霜# 爱情🐦会飞回来的 查看图片 //@杨紫：林老师您好，是锦觅本觅，可是锦觅的爱情鸟已经飞走了
4280993407585465,09-05,0,225,8716,1263,#电视剧香蜜沉沉烬如霜# 
4280971698174505,09-05,0,39,3601,484,#电视剧香蜜沉沉烬如霜# 小阿娘加油⛽️香香最美的祝福给你哦❤️//@电视剧娘道:恭喜香香@电视剧香蜜沉沉烬如霜 和小春@电视剧最美的青春 完美收官👏👏👏，第三棒就放心交给小阿娘吧 19:30准时哦～全家一起追《娘道》哦～
4280925040447851,09-05,0,1073,15275,1970,#电视剧香蜜沉沉烬如霜# 大香蜜就是辣么优秀[给你小心心]
4280924411496677,09-05,0,25,2994,161,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局#  恭喜@青山白衣伊人轻吟蒹葭 @我是小萌梦@青春的二三@Maggie_ZMQ@安芯苒 五位道友！快来私信香香你们的姓名、地址和联系方式吧~
4280914698169647,09-05,0,31,3157,235,#电视剧香蜜沉沉烬如霜# @一棵绿草草草草 @十十慕 @不会酱又想画画又想玩@阿沾今天换工作了吗 @红毛丹大侠  五位油菜花的大大，快来私信香香你们的联系方式、姓名、地址吧~给你们的优秀产出笔芯啦~[给你小心心]
4280912641960852,09-05,0,16,1933,123,#电视剧香蜜沉沉烬如霜# #我要晒香蜜壁纸# 恭喜 @空想家lena@幂语嫣然的微笑@玉雯灵婧@biaji焦糖哦@是一只兔兔团子呀  五位道友哦~快来私信香香你们的联系方式、姓名、地址吧~[给你小心心]
4280909295396798,09-05,0,17,1719,128,#电视剧香蜜沉沉烬如霜# 恭喜@z111111k2@游鱼大魔王 @想做程序猿的小公举 三位香蜜女孩~记得私信香香你们的姓名、联系方式、地址哦~[给你小心心]
4280879599357288,09-05,0,18,2297,364,#电视剧香蜜沉沉烬如霜# 恭喜 @弦子@我是小小馨啊@郁忘柒秒 @该取啥名字呢Y @甜萌Xback元气少女 五位香蜜女孩！请速速私信香香姓名、联系方式、地址，奖品要飞到你们手中啦~
4280669653798707,09-04,0,1001,9252,1083,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 亲一口苏苏就跑 查看图片 //@江苏卫视幸福剧场:#电视剧香蜜沉沉烬如霜# 和香香，34天的相亲相爱。舍不得你❤️感谢有你，我一直都在。
4280667782555620,09-04,0,105,6939,272,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 来日可期❤️谢谢邝露仙子❤️
4280665303876821,09-04,0,290,15421,1547,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 感谢一切❤️谢谢这个夏天和小鱼仙倌的相遇❤️
4280661973806463,09-04,0,241,10069,340,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 希望大家的人生也能拥有彦佑这样洒脱丹心的朋友
4280661508153944,09-04,0,409,8032,1435,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 见证约饭 查看图片 //@邓伦：永远给你加油打气好朋友。为了香蜜圆满收官，抽空赶快请我吃饭  //@杨紫 :就像我们说的 从18岁到现在 两个小屁孩怎么能想到会有今天的成绩 好朋友永远支持你 我们一起努力加油！
4280657599178812,09-04,0,81,7033,248,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 最努力的你，最可爱的你，我们为你加油哦[给你小心心] 查看图片
4280656081675274,09-04,0,820,11624,1215,#电视剧香蜜沉沉烬如霜# 【晚安情话】繁花似锦觅安宁，淡云流水度此生。余生的岁月，我只想和你共度@杨紫@邓伦 
4280652305817558,09-04,0,1678,42144,6051,我们，不说再见。 
4280650083762625,09-04,0,172,3656,329,#电视剧香蜜沉沉烬如霜#【香老板补档社】@腾讯电视剧第62集:  香蜜沉沉烬如霜_62第63集： 香蜜沉沉烬如霜_63@爱奇艺电视剧第62集：香蜜沉沉烬如霜第62集 第63集: 香蜜沉沉烬如霜第63集@优酷剧集第62集： 香蜜沉沉烬如霜 62第63集： 香蜜沉沉烬如霜 63 
4280649056186036,09-04,0,620,6036,619,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 一起加油一起成长期待我们的再次相见 查看图片 //@杨紫 :就像我们说的 从18岁到现在 两个小屁孩怎么能想到会有今天的成绩 好朋友永远支持你 我们一起努力加油！
4280648451454591,09-04,0,171,5658,749,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 千言万语我们都懂！我们也同样为你们感动❤️香蜜永在，只要有爱，一切都可以从头开始 查看图片
4280646975000403,09-04,0,192,6847,417,#电视剧香蜜沉沉烬如霜##香蜜沉沉烬如霜大结局# 谢谢小葡萄的肯定永远是#灵修夫妇#最坚实的粉头//@杨紫：小香再见啦。舍不得你啊
4280643816810294,09-04,0,494,10141,1123,#电视剧香蜜沉沉烬如霜##香蜜沉沉烬如霜大结局#香蜜开播34天，完美收官电视剧原声专辑独家登陆@网易云音乐 2月10日率先公开@毛不易 献声《不染》后，@萨顶顶 《左手指月》，@杨紫 《情霜》@邓伦 《天地无霜》 等6首好歌陆续上线，至今销量成功突破280万！感谢香蜜女孩和香蜜男孩的支持！香蜜收官， ...全文
4280640985861364,09-04,0,2364,18404,3380,#电视剧香蜜沉沉烬如霜# #香香探蜜记# 终于迎来#香蜜沉沉烬如霜大结局# 啦！在一起在一起在一起！抢花轿的幕后花絮来啦~不过旭凤@邓伦 你的提议是认真的吗考虑过花轿中我们锦觅@杨紫 的感受吗~白鹭，护着点你娘 电视剧香蜜沉沉烬如霜的秒拍视频 
4280640436633222,09-04,0,1205,22002,4088,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 全国网收视实时峰值强势破2！红尘缱绻，完美收官！ 酿蜜成香，感恩这个夏天有你 
4280638112393203,09-04,0,592,12135,3364,#香蜜沉沉烬如霜大结局# #今天锦觅笑了吗# @杨紫 笑了！从此，锦觅的脸上永远都会有笑容~#电视剧香蜜沉沉烬如霜# 
4280637533803435,09-04,0,2514,18332,4269,#香蜜沉沉烬如霜大结局# 红尘缱绻，一生伴一人；几转轮回，繁花胜万千。岁月漫长，愿你们从此永不分离！@杨紫@邓伦#电视剧香蜜沉沉烬如霜# #都来品香蜜# 
4280637072617750,09-04,0,2640,17573,3175,#香蜜沉沉烬如霜大结局# “姜太公钓鱼， 讲究的是愿者上钩，而且告诉你一个秘密，当年你爹爹呀，就是哭着喊着非要上我的鱼钩呢！”“凤凰，和你们在一起，你的眸，他的笑，便是我心中最绚丽的繁花胜境，远胜世间一切风景！”锦觅@杨紫 和旭凤@邓伦 和棠樾一家三口的画面真的是太温馨了吧一滴 ...全文
4280636858681721,09-04,0,527,7737,1121,#香蜜沉沉烬如霜大结局# #电视剧香蜜沉沉烬如霜# 感谢你为大家带来了这么一个可爱纯真的小葡萄[给你小心心]感谢最炽热的纯真之心，感谢最勇敢的一往无前！望你跟凤凰从此永不分离漫长的岁月里，你们要握紧彼此的手[给你小心心] 查看图片
4280634317112097,09-04,0,2089,12631,2366,#香蜜沉沉烬如霜大结局# 五百年过去，锦觅@杨紫 终于回来啦！！旭凤@邓伦 以凤凰真身驾临霸气抢婚，再回到他们人间初见的地方，撒花！恭喜#灵修夫妇#终成眷属！“今生今世，永生永世，你只能是我旭凤的妻子！”#电视剧香蜜沉沉烬如霜# #都来品香蜜#  ...全文
4280632370215506,09-04,0,2498,11458,2598,#香蜜沉沉烬如霜大结局# 旭凤@邓伦 看锦觅@杨紫 留下的画作，睹物思人，泪落如雨，却见锦觅出现！原来这三年，锦觅竟是宿在旭凤眼中的一滴眼泪心疼#灵修夫妇#，原来这么长的等待，居然是为了再一次的别离吗！#电视剧香蜜沉沉烬如霜# #都来品香蜜# 电视剧香蜜沉沉烬如霜的秒拍视频 
4280629627814776,09-04,0,733,8463,1682,#香蜜沉沉烬如霜大结局# 旭凤@邓伦 与润玉@罗云熙Leo 人间对饮谈心，恍如隔世。“同去常不同归，她的归处在你，从始至终，她的心里只有你。而我，不过是个局外人。”“说这些有什么用呢？她已经不在了，再也回不来了。”锦觅@杨紫，你可知这里有个人在等你回来#电视剧香蜜沉沉烬如霜#  ...全文
4280622652468030,09-04,0,1610,15537,5230,#香蜜沉沉烬如霜大结局# 润玉@罗云熙Leo 修炼禁术，几乎走火入魔，旭凤@邓伦 返回天界，帮助润玉杀死体内穷奇，润玉告知旭凤当年修复陨丹之事。这场伤心事能否得到一个完满的结局呢？#电视剧香蜜沉沉烬如霜# #都来品香蜜# 电视剧香蜜沉沉烬如霜的秒拍视频 
4280619527606402,09-04,0,1019,12234,2002,#香蜜沉沉烬如霜大结局#  从别后，忆相逢，几回魂梦与君同。走不完的万水千山，道不尽的相思哀婉，旭凤@邓伦 ，你究竟要在何处，才能重新寻回你的小葡萄？#电视剧香蜜沉沉烬如霜# #都来品香蜜# 电视剧香蜜沉沉烬如霜的秒拍视频 
4280617988426116,09-04,0,655,8487,1543,#香蜜沉沉烬如霜大结局# 忘川，忘川，相望回首已忘川。曾经，锦觅@杨紫 在这里苦求旭凤@邓伦 回头一眼；今日，旭凤也在此处断肠！#电视剧香蜜沉沉烬如霜# #都来品香蜜# 电视剧香蜜沉沉烬如霜的秒拍视频 
4280615920244019,09-04,0,1088,10730,1619,#香蜜沉沉烬如霜大结局#  旭凤@邓伦 因锦觅@杨紫 之死痛不欲生，终日借酒消愁，长芳主@彭杨 告知旭凤陨丹之事，旭凤方才得知锦觅并非凉薄，而是真的有情而不自知这个真相实在来得太迟了#电视剧香蜜沉沉烬如霜# #都来品香蜜# 电视剧香蜜沉沉烬如霜的秒拍视频 
4280615535281592,09-04,0,142,4556,354,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 虽然你把我们唱哭了，但是缘机仙子你真的很棒啦~[给你小心心] 查看图片
4280606609151567,09-04,0,83,5114,483,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 谢谢扑哧君！你带给我们的欢乐我们不会忘记哒[给你小心心]
4280602112617312,09-04,0,520,8141,2268,#电视剧香蜜沉沉烬如霜# 今晚19:30@江苏卫视@江苏卫视幸福剧场 搬好小板凳看#香蜜沉沉烬如霜大结局# ！ 
4280597344238181,09-04,0,127,5910,385,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 不舍得鎏英公举啊！我们不说再见~
4280595683417473,09-04,0,2029,49863,3602,#电视剧香蜜沉沉烬如霜# 繁花胜景，流水此生。@杨紫离#香蜜沉沉烬如霜大结局#还有1个小时！ 
4280588133470492,09-04,0,175,6574,1061,#电视剧香蜜沉沉烬如霜# 【香香剧透社】今晚19:30@江苏卫视@江苏卫视幸福剧场 一起迎接#香蜜沉沉烬如霜大结局# ！ 
4280580583503299,09-04,0,9722,10150,3979,#电视剧香蜜沉沉烬如霜# 凤凰涅槃，此生一人。@邓伦 离#香蜜沉沉烬如霜大结局#还有2个小时！ 
4280565483832886,09-04,0,76,5530,753,#电视剧香蜜沉沉烬如霜# 爱恨坦荡，英姿飒爽。@陈钰琪Yukee 离#香蜜沉沉烬如霜大结局#还有3个小时！ 
4280550385140591,09-04,0,544,10631,2911,#电视剧香蜜沉沉烬如霜# 谦谦公子，温润如玉。@罗云熙Leo 离#香蜜沉沉烬如霜大结局#还有4个小时！ 
4280535285184875,09-04,0,96,6165,866,#电视剧香蜜沉沉烬如霜# 为爱痴狂，执念障心。@王一菲Faye 离#香蜜沉沉烬如霜大结局#还有5个小时！ 
4280527739842278,09-04,0,376,7492,1052,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# #今天被香蜜捅刀了吗# 最后捅一次吧~ 
4280527244875878,09-04,0,107,4047,259,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局#  红红就是香香的化身
4280520189697652,09-04,0,97,6063,657,#电视剧香蜜沉沉烬如霜# 共度此生，不负汝心。@邹廷威 离#香蜜沉沉烬如霜大结局# 还有6个小时！ 
4280512631173825,09-04,0,148,5593,861,#电视剧香蜜沉沉烬如霜# 【六界神器】最后的名额给它，排面！ 
4280506222646694,09-04,0,657,10384,2137,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 最后一期#显微镜看香蜜# 来啦~ 
4280498227836996,09-04,0,425,5614,559,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 再次看这段哭戏还是哭得好大声为锦觅@杨紫 的演技无数次疯狂打call 查看图片
4280497536015496,09-04,0,1271,12748,2333,#电视剧香蜜沉沉烬如霜# #香香探蜜记# 润玉@罗云熙Leo 反串扑哧君@廖劲锋Daniel 的背后居然是.......?抛媚眼就算了，还对邝露@杜雨宸-Bella 发出灵魂拷问，你们还能再逗一点吗 电视剧香蜜沉沉烬如霜的秒拍视频 
4280491357800386,09-04,0,391,5290,564,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 尊上，请不要剧透我们大结局好嘛
4280490527801017,09-04,0,255,5486,1401,今晚，大结局了 请问一下香蜜女孩儿，你希望听到哪首歌出现吧？@毛不易 老师？还是@萨顶顶 老师？ 反正两位老师的歌，现在杀伤力有点强！ 到@网易云音乐 选自己想要的那首BGM吧 网页链接锦觅@杨紫 旭凤@邓伦 的3首其实就很甜 #电视剧香蜜沉沉烬如霜# ...全文
4280482436702330,09-04,0,332,3337,1284,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 不知不觉，今天就是香蜜的结局啦！带#香蜜沉沉烬如霜大结局#和#电视剧香蜜沉沉烬如霜#话题标签，猜猜我们大香蜜的最后一个结局画面是什么？终极奖品等你来哦~ 
4280467337487054,09-04,0,705,6332,1285,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 收官日小福利[给你小心心]手绘版壁纸图欢迎道友们随意食用@杨紫@邓伦@陈钰琪Yukee@罗云熙Leo@王一菲Faye@邹廷威 
4280466363655429,09-04,0,1747,8200,1522,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 香蜜视效特辑来袭！青山碧水、花海环绕、琼楼玉宇、鬼魅魔界.......快来重温我们美轮美奂的特效画面吧~@杨紫@邓伦@陈钰琪Yukee@罗云熙Leo@王一菲Faye@完美世界影视@完美世界@幸福蓝海官方微博@厦门时代众乐影视@鲲池影业@完美世界刘宁工作室 ...全文
4280452242343889,09-04,0,887,8913,3073,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局#今生无悔今生错，来世有缘来世迁；得成比目何辞死，只羡鸳鸯不羡仙。今晚19:30@江苏卫视@江苏卫视幸福剧场 和你在凡间重逢，有情相守！@杨紫@邓伦@陈钰琪Yukee@罗云熙Leo@王一菲Faye@完美世界影视@完美世界@幸福蓝海官方微博@厦门时代众乐影视 ...全文
4280296214569263,09-03,0,248,6462,736,#电视剧香蜜沉沉烬如霜#【晚安情话】此情不再，徒留唏嘘。@王一菲Faye @廖劲锋Daniel 
4280293693517212,09-03,0,557,8701,1007,#电视剧香蜜沉沉烬如霜# 【晚安情话】再一次，等待和你的重逢。晚安@杨紫@邓伦 
4280289096351119,09-03,0,67,2326,356,#电视剧香蜜沉沉烬如霜#【香老板补档社】@腾讯电视剧第60集: 香蜜沉沉烬如霜_60第61集：香蜜沉沉烬如霜_61@爱奇艺电视剧第60集：香蜜沉沉烬如霜第60集 第61集:香蜜沉沉烬如霜第61集@优酷剧集第60集：香蜜沉沉烬如霜 60 第61集：香蜜沉沉烬如霜 61 
4280282373272556,09-03,0,405,9187,1507,#电视剧香蜜沉沉烬如霜# #今天锦觅笑了吗# 笑了@杨紫 
4280278593653254,09-03,0,5887,32950,7859,#电视剧香蜜沉沉烬如霜# #香香探蜜记# 戏精对戏来啦！明明是这么虐的一场分别戏，被你们两个转换成韩式逗比画风可还行？不过，说好的不会再离开你了，要说到做到哦~ @杨紫@邓伦  电视剧香蜜沉沉烬如霜的秒拍视频 
4280277633623181,09-03,0,3477,26592,6553,"#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局#  每一次的初遇，每一次的诀别，每一次的重逢。几转轮回，历尽艰辛，只为和彼此相守@杨紫@邓伦 
今晚19:30@江苏卫视@江苏卫视幸福剧场  #香蜜沉沉烬如霜大结局#  等你！ "
